City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,college,64.8569,-147.8028,6.8,73,40,3.44,US,1707180794
83,avarua,-21.2078,-159.775,86.05,74,20,19.57,CK,1707180578
84,carnarvon,-24.8667,113.6333,86.88,30,8,24.58,AU,1707180582
85,saipan,15.1355,145.701,81.3,65,75,13.8,MP,1707180794
86,bardai,11.65,7.2333,62.02,17,11,14.36,NG,1707180794
87,tympaki,35.0729,24.7685,57.22,62,0,6.55,GR,1707180794
88,taybad,34.74,60.7756,43.0,38,0,11.65,IR,1707180794
89,mirnyy,62.5353,113.9611,5.85,97,100,1.79,RU,1707180794
90,baotou,40.6522,109.8222,7.56,87,11,5.06,CN,1707180794
91,ayr,55.4627,-4.6339,49.98,93,75,27.63,GB,1707180795
92,la'ie,21.6477,-157.9253,80.56,63,29,8.99,US,1707180771
93,el granada,37.5027,-122.4694,58.68,79,75,8.05,US,1707180795
94,dudinka,69.4058,86.1778,-13.32,97,59,4.0,RU,1707180755
95,mahanoro,-19.9,48.8,75.65,83,100,2.37,MG,1707180795
96,breves,-1.6822,-50.4803,77.74,85,96,4.83,BR,1707180795
97,bethel,41.3712,-73.414,34.93,49,0,1.01,US,1707180641
98,tura,25.5198,90.2201,57.9,61,82,2.64,IN,1707180505
99,colonia,50.9333,6.95,50.05,77,100,12.66,DE,1707180796
100,bilibino,68.0546,166.4372,-27.74,99,100,1.95,RU,1707180796
101,port elizabeth,-33.918,25.5701,72.1,93,100,9.22,ZA,1707180796
102,noosa heads,-26.3833,153.15,87.12,67,39,6.46,AU,1707180796
103,chaumont,48.1167,5.1333,40.37,90,100,10.69,FR,1707180796
104,bafq,31.6128,55.4107,45.48,19,0,7.99,IR,1707180796
105,pundong,-7.9522,110.3486,77.59,87,100,3.04,ID,1707180796
106,mstsislaw,54.0192,31.7257,20.16,95,77,10.02,BY,1707180796
107,vila franca do campo,37.7167,-25.4333,64.89,99,97,12.41,PT,1707180797
108,moulins,46.5,3.3333,39.47,98,92,2.62,FR,1707180797
109,vanimo,-2.6741,141.3028,84.25,77,100,7.05,PG,1707180797
110,kapa'a,22.0752,-159.319,80.58,69,100,20.71,US,1707180797
111,port mathurin,-19.6833,63.4167,78.98,64,93,14.34,MU,1707180797
112,rio preto da eva,-2.6994,-59.6997,76.59,93,85,1.7,BR,1707180797
113,tanjungagung,-3.9333,103.8,75.31,97,100,1.41,ID,1707180797
114,tabuk,17.4189,121.4443,77.79,75,53,5.01,PH,1707180797
115,punta arenas,-53.15,-70.9167,53.71,58,75,14.97,CL,1707180798
116,boves,44.332,7.5514,46.63,54,96,1.83,IT,1707180798
117,kurumkan,54.3,110.3,-2.87,88,100,4.0,RU,1707180798
118,morehead city,34.7229,-76.726,48.24,68,75,11.99,US,1707180583
119,notodden,59.5594,9.2585,16.75,80,100,4.18,NO,1707180798
120,trairi,-3.2778,-39.2689,81.39,78,69,11.68,BR,1707180604
121,banlung,13.7468,107.0045,76.64,57,0,3.47,KH,1707180819
122,hamilton,39.1834,-84.5333,44.24,74,0,14.97,US,1707180708
123,utrik,11.2278,169.8474,79.54,82,38,20.0,MH,1707180820
124,waitara,-38.925,174.25,77.49,70,4,8.12,NZ,1707180744
125,damghan,36.1683,54.348,33.76,70,100,1.57,IR,1707180820
126,mount gambier,-37.8333,140.7667,67.68,39,0,9.01,AU,1707180767
127,hadibu,12.65,54.0333,75.31,76,3,5.64,YE,1707180622
128,shimoda,34.6667,138.95,44.96,96,100,14.18,JP,1707180820
129,khanty-mansiysk,61.0042,69.0019,12.31,79,75,2.24,RU,1707180820
130,aykhal,66.0,111.5,-5.48,99,100,5.82,RU,1707180551
